county_fips,county_name,state_name,in_msa_1950,in_msa_1960,in_msa_1970,in_msa_1980,in_msa_1990,in_msa_2000,in_msa_2010,in_msa_2020,first_msa_decade
12017,Citrus,Florida,False,False,False,False,False,False,True,True,2010
12019,Clay,Florida,False,False,True,True,True,True,True,True,1970
12021,Collier,Florida,False,False,False,False,True,True,True,True,1990
12023,Columbia,Florida,False,False,False,False,False,False,False,False,0
12025,Dade,Florida,True,True,True,True,True,False,False,False,1950
12027,DeSoto,Florida,False,False,False,False,False,False,False,False,0
12029,Dixie,Florida,False,False,False,False,False,False,False,False,0
12031,Duval,Florida,True,True,True,True,True,True,True,True,1950
12033,Escambia,Florida,False,True,True,True,True,True,True,True,1960
12035,Flagler,Florida,False,False,False,False,True,True,True,True,1990
12037,Franklin,Florida,False,False,False,False,False,False,False,False,0
12039,Gadsden,Florida,False,False,False,True,True,True,True,True,1980
12041,Gilchrist,Florida,False,False,False,False,False,False,True,True,2010
12043,Glades,Florida,False,False,False,False,False,False,False,False,0
12045,Gulf,Florida,False,False,False,False,False,False,True,False,2010
12047,Hamilton,Florida,False,False,False,False,False,False,False,False,0
12049,Hardee,Florida,False,False,False,False,False,False,False,False,0
12051,Hendry,Florida,False,False,False,False,False,False,False,False,0
12053,Hernando,Florida,False,False,False,True,True,True,True,True,1980
12055,Highlands,Florida,False,False,False,False,False,False,True,True,2010
12057,Hillsborough,Florida,True,True,True,True,True,True,True,True,1950
12059,Holmes,Florida,False,False,False,False,False,False,False,False,0
12061,Indian River,Florida,False,False,False,False,False,False,True,True,2010
12063,Jackson,Florida,False,False,False,False,False,False,False,False,0
12065,Jefferson,Florida,False,False,False,False,False,False,True,True,2010
12067,Lafayette,Florida,False,False,False,False,False,False,False,False,0
12069,Lake,Florida,False,False,False,False,True,True,True,True,1990
12071,Lee,Florida,False,False,True,True,True,True,True,True,1970
12073,Leon,Florida,False,False,True,True,True,True,True,True,1970
12075,Levy,Florida,False,False,False,False,False,False,False,True,2020
12077,Liberty,Florida,False,False,False,False,False,False,False,False,0
12079,Madison,Florida,False,False,False,False,False,False,False,False,0
12081,Manatee,Florida,False,False,False,True,True,True,True,True,1980
12083,Marion,Florida,False,False,False,True,True,True,True,True,1980
12085,Martin,Florida,False,False,False,True,True,True,True,True,1980
12086,Miami-Dade,Florida,False,False,False,False,False,True,True,True,2000
12087,Monroe,Florida,False,False,False,False,False,False,False,False,0
12089,Nassau,Florida,False,False,True,True,True,True,True,True,1970
12091,Okaloosa,Florida,False,False,False,True,True,True,True,True,1980
12093,Okeechobee,Florida,False,False,False,False,False,False,False,False,0
12095,Orange,Florida,True,True,True,True,True,True,True,True,1950
12097,Osceola,Florida,False,False,True,True,True,True,True,True,1970
12099,Palm Beach,Florida,False,True,True,True,True,True,True,True,1960
12101,Pasco,Florida,False,False,True,True,True,True,True,True,1970
12103,Pinellas,Florida,True,True,True,True,True,True,True,True,1950
12105,Polk,Florida,False,False,True,True,True,True,True,True,1970
12107,Putnam,Florida,False,False,False,False,False,False,False,False,0
12109,St Johns,Florida,False,False,True,True,True,True,True,True,1970
12111,St Lucie,Florida,False,False,False,True,True,True,True,True,1980
12113,Santa Rosa,Florida,False,True,True,True,True,True,True,True,1960
12115,Sarasota,Florida,False,False,True,True,True,True,True,True,1970
12117,Seminole,Florida,False,True,True,True,True,True,True,True,1960
12119,Sumter,Florida,False,False,False,False,False,False,True,True,2010
12121,Suwannee,Florida,False,False,False,False,False,False,False,False,0
12123,Taylor,Florida,False,False,False,False,False,False,False,False,0
12125,Union,Florida,False,False,False,False,False,False,False,False,0
12127,Volusia,Florida,False,False,True,True,True,True,True,True,1970
12129,Wakulla,Florida,False,False,True,False,False,False,True,True,1970
12131,Walton,Florida,False,False,False,False,False,False,True,True,2010
12133,Washington,Florida,False,False,False,False,False,False,False,True,2020
13001,Appling,Georgia,False,False,False,False,False,False,False,False,0
13003,Atkinson,Georgia,False,False,False,False,False,False,False,False,0
13005,Bacon,Georgia,False,False,False,False,False,False,False,False,0
13007,Baker,Georgia,False,False,False,False,False,False,True,False,2010
13009,Baldwin,Georgia,False,False,False,False,False,False,False,False,0
